      4096: /usr/lib/libdaemon.so.0.5.0
      4096: /usr/lib/libpyglib-2.0-python.so.0.0.0
      4096: /usr/lib/libboost_system.so.1.68.0
      4096: /usr/lib/liblogging-stdlog.so.0.1.0
      4096: /usr/lib/libnl-genl-3.so.200.26.0
      4096: /usr/lib/libatomic.so.1.2.0
      4096: /usr/lib/libestr.so.0.0.0
      4096: /usr/lib/libip4tc.so.0.1.0
      4096: /usr/lib/libip6tc.so.0.1.0
      4096: /usr/lib/libmapper.so.1.0.0
      4096: /usr/lib/systemd
      4096: /usr/lib/phosphor-ipmi-host
      4096: /usr/lib/opkg
      4096: /usr/lib/xtables/libxt_rateest.so
      4096: /usr/lib/xtables/libxt_SET.so
      4096: /usr/lib/xtables/libxt_RATEEST.so
      4096: /usr/lib/xtables/libxt_conntrack.so
      4096: /usr/lib/xtables/libxt_set.so
      4096: /usr/lib/xtables/libxt_sctp.so
      4096: /usr/lib/xtables/libxt_state.so
      4096: /usr/lib/phosphor-ipmi-host/utils.cpp
      4096: /usr/lib/opkg/alternatives
      4096: /usr/lib/python2.7/urlparse.pyc
      4096: /usr/lib/python2.7/shelve.pyc
      4096: /usr/lib/python2.7/site.pyc
      4096: /usr/lib/python2.7/sre_parse.pyc
      4096: /usr/lib/python2.7/code.pyc
      4096: /usr/lib/python2.7/sre_compile.pyc
      4096: /usr/lib/python2.7/poplib.pyc
      4096: /usr/lib/python2.7/os.pyc
      4096: /usr/lib/python2.7/shlex.pyc
      4096: /usr/lib/python2.7/_abcoll.pyc
      4096: /usr/lib/python2.7/warnings.pyc
      4096: /usr/lib/python2.7/Cookie.pyc
      4096: /usr/lib/python2.7/heapq.pyc
      4096: /usr/lib/python2.7/base64.pyc
      4096: /usr/lib/python2.7/sysconfig.pyc
      4096: /usr/lib/python2.7/tempfile.pyc
      4096: /usr/lib/python2.7/textwrap.pyc
      4096: /usr/lib/python2.7/cmd.pyc
      4096: /usr/lib/python2.7/gzip.pyc
      4096: /usr/lib/python2.7/gettext.pyc
      4096: /usr/lib/python2.7/_sysconfigdata.pyc
      4096: /usr/lib/python2.7/posixpath.pyc
      4096: /usr/lib/python2.7/BaseHTTPServer.pyc
      4096: /usr/lib/python2.7/nntplib.pyc
      4096: /usr/lib/python2.7/rlcompleter.pyc
      4096: /usr/lib/python2.7/socket.pyc
      4096: /usr/lib/python2.7/ast.pyc
      4096: /usr/lib/python2.7/tokenize.pyc
      4096: /usr/lib/python2.7/sets.pyc
      4096: /usr/lib/python2.7/re.pyc
      4096: /usr/lib/python2.7/SocketServer.pyc
      4096: /usr/lib/python2.7/pipes.pyc
      4096: /usr/lib/python2.7/copy.pyc
      4096: /usr/lib/python2.7/StringIO.pyc
      4096: /usr/lib/python2.7/csv.pyc
